Tabel;;;
Jumlah Pengunjung dan Pendapatan di Obyek Wisata;;;
Pantai Randusanga Indah Dirinci Per Bulan Tahun 2018;;;
The Number of visitor and Revenue in Randusanga Indah Beach;;;
in Brebes 2018;;;
;;;
Bulan;Banyaknya;Pendapatan;Pendapatan
Month;Pengunjung;Penjualan;Lain-lain
;;(Rp);(Rp)
1;2;3;4
JANUARI;8.850;Rp26.550.000;Rp4.200.000
FEBRUARI;5.115;Rp15.345.000;Rp3.080.000
MARET;7.355;Rp22.065.000;Rp3.450.000
APRIL;7.327;Rp21.981.000;Rp4.160.000
MEI;4.853;Rp14.559.000;Rp6.565.000
JUNI;19.942;Rp2.835.000;Rp160.930.000
JULI;7.655;Rp22.975.000;Rp9.650.000
AGUSTUS;6.300;Rp18.900.000;Rp4.335.000
SEPTEMBER;7.775;Rp23.325.000;Rp3.690.000
OKTOBER;8.755;Rp26.365.000;Rp4.180.000
NOVEMBER;8.755;Rp26.265.000;Rp3.980.000
DESEMBER;8.490;Rp25.470.000;Rp49.240.000
Jumlah/Total;101.172;246.635.000;257.460.000
2017;67.530;Rp202.590.000;Rp399.510.000
2016;60.050;Rp182.775.000;Rp341.705.000
2015;62.582;Rp180.025.000;Rp314.740.000
2014;50.795;Rp101.590.000;Rp199.548.000
;;;
;;;
;;;
;;;
Link Download;http://data.jatengprov.go.id/dataset/pantai-randusanga-indah;;
